name_cn,adcode,citycode
介休市,140781,354
运城市,140800,359
运城市市辖区,140801,359
盐湖区,140802,359
临猗县,140821,359
万荣县,140822,359
闻喜县,140823,359
稷山县,140824,359
新绛县,140825,359
绛县,140826,359
垣曲县,140827,359
夏县,140828,359
平陆县,140829,359
芮城县,140830,359
永济市,140881,359
河津市,140882,359
忻州市,140900,350
忻州市市辖区,140901,350
忻府区,140902,350
定襄县,140921,350
五台县,140922,350
代县,140923,350
繁峙县,140924,350
宁武县,140925,350
静乐县,140926,350
神池县,140927,350
五寨县,140928,350
岢岚县,140929,350
河曲县,140930,350
保德县,140931,350
偏关县,140932,350
原平市,140981,350
临汾市,141000,357
临汾市市辖区,141001,357
尧都区,141002,357
曲沃县,141021,357
翼城县,141022,357
襄汾县,141023,357
洪洞县,141024,357
古县,141025,357
安泽县,141026,357
浮山县,141027,357
吉县,141028,357
乡宁县,141029,357
大宁县,141030,357
隰县,141031,357
永和县,141032,357
蒲县,141033,357
汾西县,141034,357
侯马市,141081,357
霍州市,141082,357
吕梁市,141100,358
吕梁市市辖区,141101,358
离石区,141102,358
文水县,141121,358
交城县,141122,358
兴县,141123,358
临县,141124,358
柳林县,141125,358
石楼县,141126,358
岚县,141127,358
方山县,141128,358
中阳县,141129,358
交口县,141130,358
孝义市,141181,358
汾阳市,141182,358
内蒙古自治区,150000,
呼和浩特市,150100,471
呼和浩特市市辖区,150101,471
新城区,150102,471
回民区,150103,471
玉泉区,150104,471
赛罕区,150105,471
土默特左旗,150121,471
托克托县,150122,471
和林格尔县,150123,471
清水河县,150124,471
武川县,150125,471
包头市,150200,472
包头市市辖区,150201,472
东河区,150202,472
昆都仑区,150203,472
青山区,150204,472
石拐区,150205,472
白云鄂博矿区,150206,472
九原区,150207,472
土默特右旗,150221,472
固阳县,150222,472
达尔罕茂明安联合旗,150223,472
乌海市,150300,473
乌海市市辖区,150301,473
海勃湾区,150302,473
海南区,150303,473
乌达区,150304,473
赤峰市,150400,476
赤峰市市辖区,150401,476
红山区,150402,476
元宝山区,150403,476
松山区,150404,476
阿鲁科尔沁旗,150421,476
巴林左旗,150422,476
巴林右旗,150423,476
林西县,150424,476
克什克腾旗,150425,476
翁牛特旗,150426,476
喀喇沁旗,150428,476
宁城县,150429,476
敖汉旗,150430,476
通辽市,150500,475
通辽市市辖区,150501,475
科尔沁区,150502,475
科尔沁左翼中旗,150521,475
科尔沁左翼后旗,150522,475
开鲁县,150523,475
库伦旗,150524,475
奈曼旗,150525,475
扎鲁特旗,150526,475
霍林郭勒市,150581,475
鄂尔多斯市,150600,477
鄂尔多斯市市辖区,150601,477
东胜区,150602,477
康巴什区,150603,477
达拉特旗,150621,477
准格尔旗,150622,477
鄂托克前旗,150623,477
鄂托克旗,150624,477
杭锦旗,150625,477
乌审旗,150626,477
伊金霍洛旗,150627,477
呼伦贝尔市,150700,470
呼伦贝尔市市辖区,150701,470
海拉尔区,150702,470
扎赉诺尔区,150703,470
阿荣旗,150721,470
莫力达瓦达斡尔族自治旗,150722,470
鄂伦春自治旗,150723,470
鄂温克族自治旗,150724,470
陈巴尔虎旗,150725,470
新巴尔虎左旗,150726,470
新巴尔虎右旗,150727,470
满洲里市,150781,470
牙克石市,150782,470
扎兰屯市,150783,470
额尔古纳市,150784,470
根河市,150785,470
巴彦淖尔市,150800,478
巴彦淖尔市市辖区,150801,478
临河区,150802,478
五原县,150821,478
磴口县,150822,478
乌拉特前旗,150823,478
乌拉特中旗,150824,478
乌拉特后旗,150825,478
杭锦后旗,150826,478
乌兰察布市,150900,474
乌兰察布市市辖区,150901,474
集宁区,150902,474
卓资县,150921,474
化德县,150922,474
商都县,150923,474
兴和县,150924,474
凉城县,150925,474
察哈尔右翼前旗,150926,474
察哈尔右翼中旗,150927,474
察哈尔右翼后旗,150928,474
四子王旗,150929,474
丰镇市,150981,474
兴安盟,152200,482
乌兰浩特市,152201,482
阿尔山市,152202,482
科尔沁右翼前旗,152221,482
科尔沁右翼中旗,152222,482
扎赉特旗,152223,482
突泉县,152224,482
锡林郭勒盟,152500,479
二连浩特市,152501,479
锡林浩特市,152502,479
阿巴嘎旗,152522,479
苏尼特左旗,152523,479
苏尼特右旗,152524,479
东乌珠穆沁旗,152525,479
西乌珠穆沁旗,152526,479
太仆寺旗,152527,479
镶黄旗,152528,479
正镶白旗,152529,479
正蓝旗,152530,479
多伦县,152531,479
阿拉善盟,152900,483
阿拉善左旗,152921,483
阿拉善右旗,152922,483
额济纳旗,152923,483
辽宁省,210000,
沈阳市,210100,24
沈阳市市辖区,210101,24
和平区,210102,24
沈河区,210103,24
大东区,210104,24
皇姑区,210105,24
铁西区,210106,24
苏家屯区,210111,24
浑南区,210112,24
沈北新区,210113,24
于洪区,210114,24
辽中区,210115,24
康平县,210123,24
法库县,210124,24
新民市,210181,24
大连市,210200,411
大连市市辖区,210201,411
中山区,210202,411
西岗区,210203,411
沙河口区,210204,411
甘井子区,210211,411
旅顺口区,210212,411
金州区,210213,411
普兰店区,210214,411
长海县,210224,411
瓦房店市,210281,411
庄河市,210283,411
鞍山市,210300,412
鞍山市市辖区,210301,412
铁东区,210302,412
铁西区,210303,412
立山区,210304,412
千山区,210311,412
台安县,210321,412
岫岩满族自治县,210323,412
海城市,210381,412
抚顺市,210400,413
抚顺市市辖区,210401,413
新抚区,210402,413
东洲区,210403,413
望花区,210404,413
顺城区,210411,413
抚顺县,210421,413
新宾满族自治县,210422,413
清原满族自治县,210423,413
本溪市,210500,414
本溪市市辖区,210501,414
平山区,210502,414
溪湖区,210503,414
明山区,210504,414
南芬区,210505,414
本溪满族自治县,210521,414
桓仁满族自治县,210522,414
丹东市,210600,415
丹东市市辖区,210601,415
元宝区,210602,415
振兴区,210603,415
振安区,210604,415
宽甸满族自治县,210624,415
东港市,210681,415
凤城市,210682,415
锦州市,210700,416
锦州市市辖区,210701,416
古塔区,210702,416
凌河区,210703,416
太和区,210711,416
黑山县,210726,416
义县,210727,416
凌海市,210781,416
北镇市,210782,416
营口市,210800,417
营口市市辖区,210801,417
站前区,210802,417
西市区,210803,417
鲅鱼圈区,210804,417
老边区,210811,417
盖州市,210881,417
大石桥市,210882,417
阜新市,210900,418
阜新市市辖区,210901,418
海州区,210902,418
新邱区,210903,418
太平区,210904,418
清河门区,210905,418
细河区,210911,418
阜新蒙古族自治县,210921,418
彰武县,210922,418
辽阳市,211000,419
辽阳市市辖区,211001,419
白塔区,211002,419
文圣区,211003,419
宏伟区,211004,419
弓长岭区,211005,419
太子河区,211011,419
辽阳县,211021,419
灯塔市,211081,419
盘锦市,211100,427
盘锦市市辖区,211101,427
双台子区,211102,427
兴隆台区,211103,427
大洼区,211104,427
盘山县,211122,427
铁岭市,211200,410
铁岭市市辖区,211201,410
银州区,211202,410
清河区,211204,410
铁岭县,211221,410
西丰县,211223,410
昌图县,211224,410
调兵山市,211281,410
开原市,211282,410
朝阳市,211300,421
朝阳市市辖区,211301,421
双塔区,211302,421
龙城区,211303,421
朝阳县,211321,421
建平县,211322,421
喀喇沁左翼蒙古族自治县,211324,421
北票市,211381,421
凌源市,211382,421
葫芦岛市,211400,429
葫芦岛市市辖区,211401,429
连山区,211402,429
龙港区,211403,429
南票区,211404,429
绥中县,211421,429
建昌县,211422,429
兴城市,211481,429
吉林省,220000,
长春市,220100,431
长春市市辖区,220101,431
南关区,220102,431
宽城区,220103,431
朝阳区,220104,431
二道区,220105,431
绿园区,220106,431
双阳区,220112,431
九台区,220113,431
农安县,220122,431
榆树市,220182,431
德惠市,220183,431
吉林市,220200,432
吉林市市辖区,220201,432
昌邑区,220202,432
龙潭区,220203,432
船营区,220204,432
丰满区,220211,432
永吉县,220221,432
蛟河市,220281,432
桦甸市,220282,432
舒兰市,220283,432
磐石市,220284,432
四平市,220300,434
四平市市辖区,220301,434
铁西区,220302,434
铁东区,220303,434
梨树县,220322,434
伊通满族自治县,220323,434
公主岭市,220184,434
双辽市,220382,434
辽源市,220400,437
辽源市市辖区,220401,437
龙山区,220402,437
西安区,220403,437
东丰县,220421,437
东辽县,220422,437
通化市,220500,435
通化市市辖区,220501,435
东昌区,220502,435
二道江区,220503,435
通化县,220521,435
辉南县,220523,435
柳河县,220524,435
梅河口市,220581,435
集安市,220582,435
白山市,220600,439
白山市市辖区,220601,439
浑江区,220602,439
江源区,220605,439
抚松县,220621,439
靖宇县,220622,439
长白朝鲜族自治县,220623,439
临江市,220681,439
松原市,220700,438
松原市市辖区,220701,438
宁江区,220702,438
前郭尔罗斯蒙古族自治县,220721,438
长岭县,220722,438
乾安县,220723,438
扶余市,220781,438
白城市,220800,436
白城市市辖区,220801,436
洮北区,220802,436
镇赉县,220821,436
通榆县,220822,436
洮南市,220881,436
大安市,220882,436
延边朝鲜族自治州,222400,1433
延吉市,222401,1433
图们市,222402,1433
敦化市,222403,1433
珲春市,222404,1433
龙井市,222405,1433
和龙市,222406,1433
汪清县,222424,1433
安图县,222426,1433
黑龙江省,230000,
哈尔滨市,230100,451
哈尔滨市市辖区,230101,451
道里区,230102,451
南岗区,230103,451
道外区,230104,451
平房区,230108,451
松北区,230109,451
香坊区,230110,451
呼兰区,230111,451
阿城区,230112,451
双城区,230113,451
依兰县,230123,451
方正县,230124,451
宾县,230125,451
巴彦县,230126,451
木兰县,230127,451
通河县,230128,451
延寿县,230129,451
尚志市,230183,451
五常市,230184,451
齐齐哈尔市,230200,452
齐齐哈尔市市辖区,230201,452
龙沙区,230202,452
建华区,230203,452
铁锋区,230204,452
昂昂溪区,230205,452
富拉尔基区,230206,452
碾子山区,230207,452
梅里斯达斡尔族区,230208,452
龙江县,230221,452
依安县,230223,452
泰来县,230224,452
甘南县,230225,452
富裕县,230227,452
克山县,230229,452
克东县,230230,452
拜泉县,230231,452
讷河市,230281,452
鸡西市,230300,467
鸡西市市辖区,230301,467
鸡冠区,230302,467
恒山区,230303,467
滴道区,230304,467
梨树区,230305,467
城子河区,230306,467
麻山区,230307,467
鸡东县,230321,467
虎林市,230381,467
密山市,230382,467
鹤岗市,230400,468
鹤岗市市辖区,230401,468
向阳区,230402,468
工农区,230403,468
南山区,230404,468
兴安区,230405,468
东山区,230406,468
兴山区,230407,468
萝北县,230421,468
绥滨县,230422,468
双鸭山市,230500,469
双鸭山市市辖区,230501,469
尖山区,230502,469
岭东区,230503,469
四方台区,230505,469
宝山区,230506,469
集贤县,230521,469
友谊县,230522,469
宝清县,230523,469
饶河县,230524,469
大庆市,230600,459
大庆市市辖区,230601,459
萨尔图区,230602,459
龙凤区,230603,459
让胡路区,230604,459
红岗区,230605,459
大同区,230606,459
肇州县,230621,459
肇源县,230622,459
林甸县,230623,459
杜尔伯特蒙古族自治县,230624,459
伊春市,230700,458
伊春市市辖区,230701,458
汤旺河区,230712,458
伊美区,230717,458
乌翠区,230718,458
友好区,230719,458
嘉荫县,230722,458
汤旺县,230723,458
丰林县,230724,458
大箐山县,230725,458
南岔县,230726,458
金林区,230751,458
铁力市,230781,458
佳木斯市,230800,454
佳木斯市市辖区,230801,454
向阳区,230803,454
前进区,230804,454
东风区,230805,454
郊区,230811,454
桦南县,230822,454
桦川县,230826,454
汤原县,230828,454
同江市,230881,454
富锦市,230882,454
抚远市,230883,454
七台河市,230900,464
七台河市市辖区,230901,464
新兴区,230902,464
桃山区,230903,464
茄子河区,230904,464
勃利县,230921,464
牡丹江市,231000,453
牡丹江市市辖区,231001,453
东安区,231002,453
阳明区,231003,453
爱民区,231004,453
西安区,231005,453
林口县,231025,453
绥芬河市,231081,453
海林市,231083,453
宁安市,231084,453
穆棱市,231085,453
东宁市,231086,453
黑河市,231100,456
黑河市市辖区,231101,456
爱辉区,231102,456
嫩江市,231183,456
逊克县,231123,456
孙吴县,231124,456
北安市,231181,456
五大连池市,231182,456
绥化市,231200,455
绥化市市辖区,231201,455
北林区,231202,455
望奎县,231221,455
兰西县,231222,455
青冈县,231223,455
庆安县,231224,455
明水县,231225,455
绥棱县,231226,455
安达市,231281,455
肇东市,231282,455
海伦市,231283,455
大兴安岭地区,232700,457
加格达奇区,232718,457
呼玛县,232721,457
塔河县,232722,457
漠河市,232701,457
上海市,310000,21
上海市市辖区,310100,21
黄浦区,310101,21
徐汇区,310104,21
长宁区,310105,21
静安区,310106,21
普陀区,310107,21
虹口区,310109,21
杨浦区,310110,21
闵行区,310112,21
宝山区,310113,21
嘉定区,310114,21
浦东新区,310115,21
金山区,310116,21
松江区,310117,21
青浦区,310118,21
奉贤区,310120,21
崇明区,310151,21
江苏省,320000,
南京市,320100,25
南京市市辖区,320101,25
玄武区,320102,25
秦淮区,320104,25
建邺区,320105,25
鼓楼区,320106,25
浦口区,320111,25
栖霞区,320113,25
雨花台区,320114,25
江宁区,320115,25
六合区,320116,25
溧水区,320117,25
高淳区,320118,25
无锡市,320200,510
无锡市市辖区,320201,510
锡山区,320205,510
惠山区,320206,510
滨湖区,320211,510
梁溪区,320213,510
新吴区,320214,510
江阴市,320281,510
宜兴市,320282,510
徐州市,320300,516
徐州市市辖区,320301,516
鼓楼区,320302,516
云龙区,320303,516
贾汪区,320305,516
泉山区,320311,516
铜山区,320312,516
丰县,320321,516
沛县,320322,516
睢宁县,320324,516
新沂市,320381,516
邳州市,320382,516
常州市,320400,519
常州市市辖区,320401,519
天宁区,320402,519
钟楼区,320404,519
新北区,320411,519
武进区,320412,519
金坛区,320413,519
溧阳市,320481,519
苏州市,320500,512
苏州市市辖区,320501,512
虎丘区,320505,512
吴中区,320506,512
相城区,320507,512
姑苏区,320508,512
吴江区,320509,512
苏州工业园区,320571,512
常熟市,320581,512
张家港市,320582,512
昆山市,320583,512
太仓市,320585,512
南通市,320600,513
南通市市辖区,320601,513
崇川区,320602,513
通州区,320612,513
海安市,320685,513
如东县,320623,513
启东市,320681,513
如皋市,320682,513
海门区,320684,513
连云港市,320700,518
连云港市市辖区,320701,518
连云区,320703,518
海州区,320706,518
赣榆区,320707,518
东海县,320722,518
灌云县,320723,518
灌南县,320724,518
淮安市,320800,517
淮安市市辖区,320801,517
淮安区,320803,517
淮阴区,320804,517
清江浦区,320812,517
洪泽区,320813,517
涟水县,320826,517
盱眙县,320830,517
金湖县,320831,517
盐城市,320900,515
盐城市市辖区,320901,515
亭湖区,320902,515
盐都区,320903,515
大丰区,320904,515
响水县,320921,515
滨海县,320922,515
阜宁县,320923,515
射阳县,320924,515
建湖县,320925,515
东台市,320981,515
扬州市,321000,514
扬州市市辖区,321001,514
广陵区,321002,514
邗江区,321003,514
江都区,321012,514
宝应县,321023,514
仪征市,321081,514
高邮市,321084,514
镇江市,321100,511
镇江市市辖区,321101,511
京口区,321102,511
润州区,321111,511
丹徒区,321112,511
丹阳市,321181,511
扬中市,321182,511
句容市,321183,511
泰州市,321200,523
泰州市市辖区,321201,523
海陵区,321202,523
高港区,321203,523
姜堰区,321204,523
兴化市,321281,523
靖江市,321282,523
泰兴市,321283,523
宿迁市,321300,527
宿迁市市辖区,321301,527
宿城区,321302,527
宿豫区,321311,527
沭阳县,321322,527
泗阳县,321323,527
泗洪县,321324,527
浙江省,330000,
杭州市,330100,571
杭州市市辖区,330101,571
上城区,330102,571
下城区,330103,571
江干区,330104,571
拱墅区,330105,571
西湖区,330106,571
滨江区,330108,571
萧山区,330109,571
余杭区,330110,571
富阳区,330111,571
临安区,330112,571
桐庐县,330122,571
淳安县,330127,571
建德市,330182,571
宁波市,330200,574
宁波市市辖区,330201,574
海曙区,330203,574
江北区,330205,574
北仑区,330206,574
镇海区,330211,574
鄞州区,330212,574
奉化区,330213,574
象山县,330225,574
宁海县,330226,574
余姚市,330281,574
慈溪市,330282,574
温州市,330300,577
温州市市辖区,330301,577
鹿城区,330302,577
龙湾区,330303,577
瓯海区,330304,577
洞头区,330305,577
永嘉县,330324,577
平阳县,330326,577
苍南县,330327,577
文成县,330328,577
泰顺县,330329,577
瑞安市,330381,577
乐清市,330382,577
龙港市,330383,577
嘉兴市,330400,573
嘉兴市市辖区,330401,573
南湖区,330402,573
秀洲区,330411,573
嘉善县,330421,573
海盐县,330424,573
海宁市,330481,573
平湖市,330482,573
桐乡市,330483,573
湖州市,330500,572
湖州市市辖区,330501,572
吴兴区,330502,572
南浔区,330503,572
德清县,330521,572
长兴县,330522,572
安吉县,330523,572
绍兴市,330600,575
绍兴市市辖区,330601,575
越城区,330602,575
柯桥区,330603,575
上虞区,330604,575
新昌县,330624,575
诸暨市,330681,575
嵊州市,330683,575
金华市,330700,579
金华市市辖区,330701,579
婺城区,330702,579
金东区,330703,579
武义县,330723,579
浦江县,330726,579
磐安县,330727,579
兰溪市,330781,579
义乌市,330782,579
东阳市,330783,579
永康市,330784,579
衢州市,330800,570
衢州市市辖区,330801,570
柯城区,330802,570
衢江区,330803,570
常山县,330822,570
开化县,330824,570
龙游县,330825,570
江山市,330881,570
舟山市,330900,580
舟山市市辖区,330901,580
定海区,330902,580
普陀区,330903,580
岱山县,330921,580
嵊泗县,330922,580
台州市,331000,576
台州市市辖区,331001,576
椒江区,331002,576
黄岩区,331003,576
路桥区,331004,576
三门县,331022,576
天台县,331023,576
仙居县,331024,576
温岭市,331081,576
临海市,331082,576
玉环市,331083,576
丽水市,331100,578
丽水市市辖区,331101,578
莲都区,331102,578
青田县,331121,578
缙云县,331122,578
遂昌县,331123,578
松阳县,331124,578
云和县,331125,578
庆元县,331126,578
景宁畲族自治县,331127,578
龙泉市,331181,578
安徽省,340000,
合肥市,340100,551
合肥市市辖区,340101,551
瑶海区,340102,551
庐阳区,340103,551
蜀山区,340104,551
包河区,340111,551
长丰县,340121,551
肥东县,340122,551
肥西县,340123,551
庐江县,340124,551
巢湖市,340181,551
芜湖市,340200,553
芜湖市市辖区,340201,553
镜湖区,340202,553
弋江区,340203,553
鸠江区,340207,553
湾沚区,340221,553
繁昌区,340222,553
南陵县,340223,553
无为市,340281,553
蚌埠市,340300,552
蚌埠市市辖区,340301,552
龙子湖区,340302,552
蚌山区,340303,552
禹会区,340304,552
淮上区,340311,552
怀远县,340321,552
五河县,340322,552
固镇县,340323,552
淮南市,340400,554
淮南市市辖区,340401,554
大通区,340402,554
田家庵区,340403,554
谢家集区,340404,554
八公山区,340405,554
潘集区,340406,554
凤台县,340421,554
寿县,340422,554
马鞍山市,340500,555
马鞍山市市辖区,340501,555
花山区,340503,555
雨山区,340504,555
博望区,340506,555
当涂县,340521,555
含山县,340522,555
和县,340523,555
淮北市,340600,561
淮北市市辖区,340601,561
杜集区,340602,561
相山区,340603,561
烈山区,340604,561
濉溪县,340621,561
铜陵市,340700,562
铜陵市市辖区,340701,562
铜官区,340705,562
义安区,340706,562
郊区,340711,562
枞阳县,340722,562
安庆市,340800,556
安庆市市辖区,340801,556
迎江区,340802,556
大观区,340803,556
宜秀区,340811,556
怀宁县,340822,556
潜山市,340882,556
太湖县,340825,556
宿松县,340826,556
望江县,340827,556
岳西县,340828,556
桐城市,340881,556
黄山市,341000,559
黄山市市辖区,341001,559
屯溪区,341002,559
黄山区,341003,559
徽州区,341004,559
歙县,341021,559
休宁县,341022,559
黟县,341023,559
祁门县,341024,559
滁州市,341100,550
滁州市市辖区,341101,550
琅琊区,341102,550
南谯区,341103,550
来安县,341122,550
全椒县,341124,550
定远县,341125,550
凤阳县,341126,550
天长市,341181,550
明光市,341182,550
阜阳市,341200,1558
阜阳市市辖区,341201,1558
颍州区,341202,1558
颍东区,341203,1558
颍泉区,341204,1558
临泉县,341221,1558
太和县,341222,1558
阜南县,341225,1558
颍上县,341226,1558
界首市,341282,1558
宿州市,341300,557
宿州市市辖区,341301,557
埇桥区,341302,557
砀山县,341321,557
萧县,341322,557
灵璧县,341323,557
泗县,341324,557
六安市,341500,564
六安市市辖区,341501,564
金安区,341502,564
裕安区,341503,564
叶集区,341504,564
霍邱县,341522,564
舒城县,341523,564
金寨县,341524,564
霍山县,341525,564
亳州市,341600,558
亳州市市辖区,341601,558
谯城区,341602,558
涡阳县,341621,558
蒙城县,341622,558
利辛县,341623,558
池州市,341700,566
池州市市辖区,341701,566
贵池区,341702,566
东至县,341721,566
石台县,341722,566
青阳县,341723,566
宣城市,341800,563
宣城市市辖区,341801,563
宣州区,341802,563
郎溪县,341821,563
广德市,341882,563
泾县,341823,563
绩溪县,341824,563
旌德县,341825,563
宁国市,341881,563
福建省,350000,
福州市,350100,591
福州市市辖区,350101,591
鼓楼区,350102,591
台江区,350103,591
仓山区,350104,591
马尾区,350105,591
晋安区,350111,591
长乐区,350112,591
闽侯县,350121,591
连江县,350122,591
罗源县,350123,591
闽清县,350124,591
永泰县,350125,591
平潭县,350128,591
福清市,350181,591
厦门市,350200,592
厦门市市辖区,350201,592
思明区,350203,592
海沧区,350205,592
湖里区,350206,592
集美区,350211,592
同安区,350212,592
翔安区,350213,592
莆田市,350300,594
莆田市市辖区,350301,594
城厢区,350302,594
涵江区,350303,594
荔城区,350304,594
秀屿区,350305,594
仙游县,350322,594
三明市,350400,598
三明市市辖区,350401,598
梅列区,350402,598
三元区,350403,598
明溪县,350421,598
清流县,350423,598
宁化县,350424,598
大田县,350425,598
尤溪县,350426,598
沙县,350427,598
将乐县,350428,598
泰宁县,350429,598
建宁县,350430,598
永安市,350481,598
泉州市,350500,595
泉州市市辖区,350501,595
鲤城区,350502,595
丰泽区,350503,595
洛江区,350504,595
泉港区,350505,595
惠安县,350521,595
安溪县,350524,595
永春县,350525,595
德化县,350526,595
金门县,350527,595
石狮市,350581,595
晋江市,350582,595
南安市,350583,595
漳州市,350600,596
漳州市市辖区,350601,596
芗城区,350602,596
龙文区,350603,596
云霄县,350622,596
漳浦县,350623,596
诏安县,350624,596
长泰县,350625,596
